species,speed,sd,n_tracks,source
Phylloscopus trochilus,9.5,2.6,5,
Platalea leucorodia,14.1,1.4,7,Bruderer2001
Plegadis falcinellus,12.6,1.7,5,Bruderer2001
Pluvialis dominica,13.7,NA,1,Alerstam2007
Pluvialis squatarola,17.9,3.9,14,Alerstam2007
Pterocles coronatus,16.9,0,1,
Pterocles senegallus,18.4,0,1,
Ptyonoprogne rupestris,9.9,0,1,
Pterocles orientalis,18.3,0.5,2,
Polysticta stelleri,21.9,NA,1,Alerstam2007
Porzana porzana,13.9,NA,1,Alerstam2007
Prunella modularis,12.2,0,1,Bruderer2001
Prunella modularis,8,1.3,7,
Pyrrhula pyrrhula,13.4,NA,1,Alerstam2007
Regulus regulus,6,0,1,
Regulus ignicapillus,6.7,0,1,
Riparia riparia,14.3,NA,1,Alerstam2007
Riparia riparia,11.3,1.6,9,Bruderer2001
Rissa tridactyla,13.1,0.4,2,Alerstam2007
Saxicola rubetra,8.1,1.1,6,
Serinus serinus,7.2,0,1,
Sylvia hortensis,6.6,0,1,
Sylvia curruca,8.2,3.7,2,
Sylvia communis,10.6,1.6,3,
Sylvia borin,9.2,1.8,6,
Sylvia atricapilla,8.2,2.4,11,
Somateria mollissima,17.9,2.4,240,Alerstam2007
Somateria spectabilis,16,0.3,2,Alerstam2007
Stercorarius longicaudus,13.6,1.9,3,Alerstam2007
Stercorarius parasiticus,13.8,2.2,7,Alerstam2007
Stercorarius pomarinus,15.2,2.3,16,Alerstam2007
Sterna caspia,12.1,NA,1,Alerstam2007
Sterna paradisaea,10.9,0.9,2,Alerstam2007
Streptopelia senegalensis,11.5,0,1,
Sturnus vulgaris,16.2,4.3,4,Alerstam2007
Sturnus vulgaris,12.4,2.6,9,Bruderer2001
Tadorna tadorna,15.4,NA,1,Alerstam2007
Torgos tracheliotus,16.1,0.8,1,
Torgos tracheliotus,11.8,0,1,
Tringa glareola,9.6,1.7,3,Alerstam2007
Tringa nebularia,12.3,3.3,5,Alerstam2007
Tringa ochropus,5.8,2,2,
Tringa ochropus,22.7,0,1,
Turdus iliacus,13.8,1.8,6,Alerstam2007
Turdus merula,9.3,2.5,3,
Turdus philomelos,11,2.1,6,Alerstam2007
Turdus philomelos,11.7,1.7,8,Bruderer2001
Turdus philomelos,11.9,2.4,2,
Turdus pilaris,13,2.9,15,Alerstam2007
Turdus pilaris,12.4,1.2,6,Bruderer2001
Turdus viscivorus,11.9,3.3,3,Alerstam2007
Turdus viscivorus,12.4,0.2,2,Bruderer2001
Upupa epops,10.8,0.4,1,
Vanellus vanellus,12.8,1.3,14,Alerstam2007
Vanellus vanellus,11.9,2,2,Bruderer2001
