name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass
Falco peregrinus,NA,0.813,1.064,0.26829,2,0.1285,0.13821
Falco sparverius,NA,0.137,0.55,0.04521000000000001,2,0.0372,0.023290000000000005
Falco subbuteo,NA,0.165,0.757,0.054450000000000005,2,0.0558,0.028050000000000002
Falco tinnunculus,NA,0.2085,0.745,0.068805,2,0.07055,0.035445000000000004
Colinus virginianus,NA,0.1651,0.331,0.054483000000000004,2,0.02064,0.028067
Alectoris graeca,NA,0.6065,0.55,0.20014500000000002,2,0.0473,0.10310500000000002
Alectoris rufa,NA,0.49,0.544,0.1617,2,0.0519,0.0833
Coturnix coturnix,NA,0.0832,0.358,0.027456,2,0.0171,0.014144
Coturnix japonica,NA,0.1401,0.316,0.046233,2,0.01856,0.023817
Gallus gallus,NA,2.61,0.653,0.8613,2,0.12704,0.4437
Lagopus lagopus,NA,0.62,0.682,0.2046,2,0.0626,0.10540000000000001
Lagopus lagopus,NA,0.624,0.709,0.20592000000000002,2,0.0593,0.10608000000000001
Lagopus muta,NA,0.4625,0.603,0.152625,2,0.0486,0.07862500000000001
Lyrurus tetrix,f,0.94,0.764,0.3102,2,0.0846,0.1598
Lyrurus tetrix,m,1.03,0.838,0.33990000000000004,2,0.0968,0.1751
Perdix perdix,NA,0.387,0.525,0.12771000000000002,2,0.0433,0.06579
Phasianus colchicus,NA,1.304,0.8,0.43032000000000004,2,0.0917,0.22168000000000002
Tetrao urogallus,f,1.89,0.915,0.6237,2,0.1219,0.32130000000000003
Tetrao urogallus,m,3.361,1.318,1.1091300000000002,2,0.1412,0.57137
Tetrastes bonasia,NA,0.278,0.529,0.09174000000000002,2,0.0386,0.04726000000000001
Gavia arctica,NA,1.495,1.2,0.49335000000000007,2,0.1196,0.25415000000000004
Gavia immer,NA,2.425,1.47,0.80025,2,0.1358,0.41225
Gavia stellata,NA,0.957,1.04,0.31581,2,0.089,0.16269
Grus grus,NA,4.175,2.11,1.37775,2,0.5553,0.70975
Crex crex,NA,0.155,0.478,0.05115,2,0.0318,0.026350000000000002
Fulica americana,NA,0.435,0.65,0.14355,2,0.0596,0.07395
Fulica atra,NA,0.578,0.725,0.19074,2,0.0618,0.09826
Gallinula chloropus,NA,0.265,0.559,0.08745000000000001,2,0.0368,0.04505000000000001
Porzana carolina,NA,0.075,0.375,0.02475,2,0.0176,0.012750000000000001
Porzana porzana,NA,0.069,0.394,0.022770000000000002,2,0.0228,0.011730000000000003
Rallus aquaticus,NA,0.128,0.413,0.04224,2,0.0261,0.02176
Rallus elegans,NA,0.227,0.61,0.07491,2,0.0536,0.038590000000000006
Rallus limicola,NA,0.065,0.356,0.02145,2,0.0221,0.01105
Otis tarda,NA,8.95,2.08,2.9535,2,0.5728,1.5215
Tetrax tetrax,NA,0.83,0.865,0.2739,2,0.1038,0.1411
Acrocephalus schoenobaenus,NA,0.0104,0.192,0.003432,1,0.00529,0.001768
Acrocephalus scirpaceus,NA,0.0128,0.203,0.004224,1,0.00672,0.0021760000000000004
Hippolais icterina,NA,0.0107,0.205,0.003531,1,0.008,0.001819
Aegithalos caudatus,NA,0.008,0.186,0.00264,1,0.0058,0.00136
Alauda arvensis,NA,0.028300000000000002,0.317,0.009339000000000002,1,0.0163,0.004811000000000001
Certhia brachydactyla,NA,0.0085,0.2,0.002805,1,0.0066,0.001445
Corvus monedula,NA,0.253,0.708,0.08349000000000001,1,0.0665,0.04301000000000001
Corvus corax,NA,1.25,1.2,0.41250000000000003,1,0.28139,0.21250000000000002
Corvus cornix,NA,0.633,0.979,0.20889000000000002,1,0.1317,0.10761000000000001
Corvus corone,NA,0.47,0.894,0.1551,1,0.1058,0.0799
Corvus frugilegus,NA,0.47,0.972,0.1551,1,0.1387,0.0799
Corvus ossifragus,NA,0.2915,0.696,0.096195,1,0.09925,0.049555
Cyanocorax yncas,NA,0.0713,0.373,0.023529,1,0.0316,0.012121000000000002
Garrulus glandarius,NA,0.16,0.543,0.05280000000000001,1,0.0554,0.027200000000000002
Nucifraga caryocatactes,NA,0.161,0.598,0.053130000000000004,1,0.0515,0.027370000000000002
Pica pica,NA,0.214,0.592,0.07062,1,0.064,0.03638
Pyrrhocorax graculus,NA,0.223,0.782,0.07359,1,0.0997,0.037910000000000006
Pyrrhocorax pyrrhocorax,NA,0.39,0.672,0.1287,1,0.0948,0.06630000000000001
Emberiza cia,NA,0.0214,0.258,0.007062,1,0.0108,0.003638
Emberiza cirlus,NA,0.023100000000000002,0.248,0.007623000000000001,1,0.0104,0.003927000000000001
Emberiza citrinella,NA,0.025,0.281,0.00825,1,0.013,0.00425
Emberiza hortulana,NA,0.033,0.273,0.01089,1,0.0122,0.00561
Emberiza schoeniclus,NA,0.02,0.255,0.006600000000000001,1,0.0114,0.0034000000000000002
