name,sex,bodymass,wingspan,fat_mass,order,wingarea,muscle_mass,range,body_mass_out,fat_mass_out,muscle_mass_out,start_min_speed,end_min_speed
Cathartes aura,NA,2.409,1.829,0.79497,2,0.4356,0.40953,7796.618937724034,1.3233650996732407,-0,0.40953,15.531608453105873,12.720997208034767
Coragyps atratus,NA,1.998,1.429,0.65934,2,0.3326,0.33966,5890.836745108451,1.09788468451057,-0,0.33966,16.50871206928867,13.52332366960061
Pandion haliaetus,NA,1.105,1.572,0.36465000000000003,2,0.2921,0.18785000000000002,8622.396559685107,0.6072338283719491,-0,0.18785000000000002,12.918609252794136,10.581693296174844
Aix sponsa,NA,0.589,0.711,0.19437,2,0.066,0.10013,4864.087827368163,0.32370209321284693,0,0.10013,15.57325389122016,12.758129221642045
Anas acuta,NA,0.97,0.89,0.3201,2,0.0761,0.16490000000000002,5915.654914456585,0.5330517443572665,-0,0.16490000000000002,16.43895034251653,13.466582273266335
Anas carolinensis,NA,0.321,0.61,0.10593000000000001,2,0.0374,0.05457000000000001,5534.783210895066,0.17639272108775483,-0,0.05457000000000001,13.73204520189536,11.248695200308758
Anas crecca,NA,0.293,0.578,0.09669,2,0.0349,0.04981,5326.300728281567,0.16097006614793968,-0,0.04981,13.684128561581707,11.208675167377166
Anas platyrhynchos,NA,1.105,0.9,0.36465000000000003,2,0.0928,0.18785000000000002,5369.525443869616,0.6072106268053481,-0,0.18785000000000002,17.073430008234258,13.986527415079888
Anas rubripes,NA,1.142,0.9,0.37686,2,0.1007,0.19414,5137.999683551895,0.6272173994226995,-0,0.19414,17.261999689404462,14.138746231978665
Anser albifrons,NA,1.715,1.41,0.5659500000000001,2,0.1835,0.29155000000000003,7785.161637164504,0.9423498696035342,-0,0.29155000000000003,15.794222167779775,12.937191003531288
Anser anser,NA,3.065,1.63,1.01145,2,0.2697,0.52105,7309.0584558043465,1.6843077792256647,-0,0.52105,17.828363325441156,14.604294571563674
Anser fabalis,NA,3.11,1.62,1.0263,2,0.2675,0.5287000000000001,7227.568622476478,1.7088702799886866,-0,0.5287000000000001,17.970443525670273,14.720255842140412
Aythya affinis,NA,0.763,0.74,0.25179,2,0.0472,0.12971000000000002,5564.312268633805,0.4193279127284052,-0,0.12971000000000002,16.64128226574836,13.632893480681526
Aythya collaris,NA,0.7573,0.71,0.249909,2,0.046,0.128741,5263.808002132034,0.41603703581373497,-0,0.128741,16.94678824155226,13.881648721517944
Aythya ferina,NA,0.842,0.774,0.27786,2,0.0615,0.14314000000000002,5281.046279576007,0.4626698299696672,-0,0.14314000000000002,16.815191424601576,13.774808420534852
Aythya fuligula,NA,0.741,0.706,0.24453,2,0.0474,0.12597,5189.51146563071,0.40696521703651434,-0,0.12597,16.87185115490628,13.81897113919689
Aythya marila,NA,0.675,0.814,0.22275000000000003,2,0.0621,0.11475000000000002,6066.748440764843,0.37095262288269026,-0,0.11475000000000002,15.231452460343647,12.477332793006816
