birdlife_name,species,speed,sd,n_tracks,source,V_mp,V_mr,flight_type,soaring_birds
Phoenicopterus ruber,Phoenicopterus ruber,15.2,2.7,3,Bruderer2001,13.1,20.9,,
Phoenicurus ochruros,Phoenicurus ochruros,9.3,2.9,7,Bruderer2001,5.1,9.6,,
Phoenicurus phoenicurus,Phoenicurus phoenicurus,7.5,2.7,8,Bruderer2001,5.3,10.1,,
Phylloscopus trochilus,Phylloscopus trochilus,9.5,2.6,5,Bruderer2001,4.8,9.2,,
Platalea leucorodia,Platalea leucorodia,14.1,1.4,7,Bruderer2001,12.4,20.6,,
Plegadis falcinellus,Plegadis falcinellus,12.6,1.7,5,Bruderer2001,9.6,15.6,,
Prunella modularis,Prunella modularis,12.2,0,1,Bruderer2001,6.1,11.4,,
Prunella modularis,Prunella modularis,8,1.3,7,Bruderer2001,6.1,11.4,,
Pterocles coronatus,Pterocles coronatus,16.9,0,1,Bruderer2001,9.1,14.9,,
Pterocles orientalis,Pterocles orientalis,18.3,0.5,2,Bruderer2001,9.1,15,,
Pterocles senegallus,Pterocles senegallus,18.4,0,1,Bruderer2001,8.4,13.8,,
Ptyonoprogne rupestris,Ptyonoprogne rupestris,9.9,0,1,Bruderer2001,5,8.9,,
Regulus ignicapillus,Regulus ignicapillus,6.7,0,1,Bruderer2001,4.8,9.6,,
Regulus regulus,Regulus regulus,6,0,1,Bruderer2001,4.7,9.3,,
Riparia riparia,Riparia riparia,11.3,1.6,9,Bruderer2001,4.6,8.6,,
Saxicola rubetra,Saxicola rubetra,8.1,1.1,6,Bruderer2001,5.4,10.1,,
Serinus serinus,Serinus serinus,7.2,0,1,Bruderer2001,4.8,9.1,,
Spilopelia senegalensis,Streptopelia senegalensis,11.5,0,1,Bruderer2001,6.8,11.8,,
Sturnus vulgaris,Sturnus vulgaris,12.4,2.6,9,Bruderer2001,6.8,11.8,,
Sylvia atricapilla,Sylvia atricapilla,8.2,2.4,11,Bruderer2001,5.8,10.8,,
Sylvia borin,Sylvia borin,9.2,1.8,6,Bruderer2001,5.7,10.6,,
Curruca communis,Sylvia communis,10.6,1.6,3,Bruderer2001,5.5,10.1,,
Curruca curruca,Sylvia curruca,8.2,3.7,2,Bruderer2001,5.3,10.1,,
Curruca hortensis,Sylvia hortensis,6.6,0,1,Bruderer2001,5.8,10.9,,
Torgos tracheliotos,Torgos tracheliotus,16.1,0.8,1,Bruderer2001,,21.7,gliding,1
Torgos tracheliotos,Torgos tracheliotus,11.8,0,1,Bruderer2001,,13.3,mixed,1
Tringa ochropus,Tringa ochropus,5.8,2,2,Bruderer2001,5.7,9.3,,
Tringa ochropus,Tringa ochropus,22.7,0,1,Bruderer2001,5.7,9.3,,
Turdus merula,Turdus merula,9.3,2.5,3,Bruderer2001,7.5,13.7,,
Turdus philomelos,Turdus philomelos,11.7,1.7,8,Bruderer2001,7.6,13.3,,
Turdus philomelos,Turdus philomelos,11.9,2.4,2,Bruderer2001,7.6,13.3,,
Turdus pilaris,Turdus pilaris,12.4,1.2,6,Bruderer2001,7.3,13,,
Turdus viscivorus,Turdus viscivorus,12.4,0.2,2,Bruderer2001,7.1,12.6,,
Upupa epops,Upupa epops,10.8,0.4,1,Bruderer2001,6.2,11.3,,
Vanellus vanellus,Vanellus vanellus,11.9,2,2,Bruderer2001,6.5,10.7,,
