Species_original,Sex,Adult_Juvenile,BirdTree_WJSpecID,Species_BirdTree,Species_IOC13.1,Order_IOC13.1,Family_IOC13.1,English.name_IOC13.1,Multiling_IOC13.1_Japanese,N_studies,body.mass_g,wingspan_m,wing.area_m2,ref,def_span,def_area
Diomedea exulans,NA,NA,5575,Diomedea exulans,Diomedea exulans,PROCELLARIIFORMES,Diomedeidae,Wandering Albatross,ワタリアホウドリ,6,8730,3.03,0.611,Pennycuick 1987,A?-II?,A?-II?
Phoebetria palpebrata,NA,NA,5593,Phoebetria palpebrata,Phoebetria palpebrata,PROCELLARIIFORMES,Diomedeidae,Light-mantled Albatross,ハイイロアホウドリ,5,2840,2.18,0.338,Pennycuick 1987,A?-II?,A?-II?
Diomedea chrysostoma,NA,NA,5589,Thalassarche chrysostoma,Thalassarche chrysostoma,PROCELLARIIFORMES,Diomedeidae,Grey-headed Albatross,ハイガシラアホウドリ,4,3790,2.18,0.352,Pennycuick 1987,A?-II?,A?-II?
Diomedea melanophris,NA,NA,5583,Thalassarche melanophrys,Thalassarche melanophris,PROCELLARIIFORMES,Diomedeidae,Black-browed Albatross,マユグロアホウドリ,4,3790,2.16,0.356,Pennycuick 1987,A?-II?,A?-II?
Oceanites oceanicus,NA,NA,5598,Oceanites oceanicus,Oceanites oceanicus,PROCELLARIIFORMES,Oceanitidae,Wilson's Storm Petrel,アシナガウミツバメ,3,38,0.393,0.0219,Pennycuick 1987,A?-II?,A?-II?
Daption capensis,NA,NA,5465,Daption capense,Daption capense,PROCELLARIIFORMES,Procellariidae,Cape Petrel,マダラフルマカモメ,2,433,0.875,0.0773,Pennycuick 1987,A?-II?,A?-II?
Fulmarus glacialis,NA,NA,5462,Fulmarus glacialis,Fulmarus glacialis,PROCELLARIIFORMES,Procellariidae,Northern Fulmar,フルマカモメ,6,815,1.13,0.124,Pennycuick 1987,A?-II?,A?-II?
Macronectes giganteus,NA,NA,5460,Macronectes giganteus,Macronectes giganteus,PROCELLARIIFORMES,Procellariidae,Southern Giant Petrel,オオフルマカモメ,3,5190,1.99,0.331,Pennycuick 1987,A?-II?,A?-II?
Pachyptila desolata,NA,NA,5518,Pachyptila desolata,Pachyptila desolata,PROCELLARIIFORMES,Procellariidae,Antarctic Prion,ナンキョククジラドリ,4,168,0.626,0.046,Pennycuick 1987,A?-II?,A?-II?
Pelecanoides georgicus,NA,NA,5564,Pelecanoides georgicus,Pelecanoides georgicus,PROCELLARIIFORMES,Procellariidae,South Georgia Diving Petrel,ミナミモグリウミツバメ,3,114,0.381,0.02,Pennycuick 1987,A?-II?,A?-II?
Pelecanoides urinatrix,NA,NA,5565,Pelecanoides urinatrix,Pelecanoides urinatrix,PROCELLARIIFORMES,Procellariidae,Common Diving Petrel,モグリウミツバメ,4,137,0.393,0.0221,Pennycuick 1987,A?-II?,A?-II?
Procellaria aequinoctialis,NA,NA,5524,Procellaria aequinoctialis,Procellaria aequinoctialis,PROCELLARIIFORMES,Procellariidae,White-chinned Petrel,ノドジロクロミズナギドリ,6,1370,1.4,0.169,Pennycuick 1987,A?-II?,A?-II?
Phalacrocorax aristotelis,NA,NA,5117,Phalacrocorax aristotelis,Gulosus aristotelis,SULIFORMES,Phalacrocoracidae,European Shag,ヨーロッパヒメウ,3,1810,1.04,0.158,Pennycuick 1987,A?-II?,A?-II?
Phalacrocorax atriceps,NA,NA,5102,Phalacrocorax atriceps,Leucocarbo atriceps,SULIFORMES,Phalacrocoracidae,Imperial Shag,ズグロムナジロヒメウ,3,2230,1.13,0.183,Pennycuick 1987,A?-II?,A?-II?
Morus bassanus,NA,NA,5054,Morus bassanus,Morus bassanus,SULIFORMES,Sulidae,Northern Gannet,シロカツオドリ,2,3010,1.85,0.262,Pennycuick 1987,A?-II?,A?-II?
Accipiter cooperi,NA,NA,4759,Accipiter cooperii,Accipiter cooperii,ACCIPITRIFORMES,Accipitridae,Cooper's Hawk,クーパーハイタカ,1,428.5,0.711,0.0898,Viscor 1987,?-?,?-?
