Species_original,Sex,Adult_Juvenile,BirdTree_WJSpecID,Species_BirdTree,Species_IOC13.1,Order_IOC13.1,Family_IOC13.1,English.name_IOC13.1,Multiling_IOC13.1_Japanese,N_studies,body.mass_g,wingspan_m,wing.area_m2,ref,def_span,def_area
Stellula calliope,F,NA,2799,Stellula calliope,Selasphorus calliope,APODIFORMES,Trochilidae,Calliope Hummingbird,ヒメハチドリ,1,2.193000077,0.102,NA,Skandalis 2017,A-II,NA
Stellula calliope,M,NA,2799,Stellula calliope,Selasphorus calliope,APODIFORMES,Trochilidae,Calliope Hummingbird,ヒメハチドリ,1,3.102999924,0.094,NA,Skandalis 2017,A-II,NA
Selasphorus flammula,F,NA,2815,Selasphorus flammula,Selasphorus flammula,APODIFORMES,Trochilidae,Volcano Hummingbird,バラエリフトオハチドリ,1,2.788545438,0.097666667,NA,Skandalis 2017,A-II,NA
Selasphorus flammula,M,NA,2815,Selasphorus flammula,Selasphorus flammula,APODIFORMES,Trochilidae,Volcano Hummingbird,バラエリフトオハチドリ,1,2.443500013,0.092571429,NA,Skandalis 2017,A-II,NA
Selasphorus platycercus,F,NA,2812,Selasphorus platycercus,Selasphorus platycercus,APODIFORMES,Trochilidae,Broad-tailed Hummingbird,フトオハチドリ,1,3.531400003,0.121681818,NA,Skandalis 2017,A-II,NA
Selasphorus platycercus,M,NA,2812,Selasphorus platycercus,Selasphorus platycercus,APODIFORMES,Trochilidae,Broad-tailed Hummingbird,フトオハチドリ,1,3.640000009,0.119,NA,Skandalis 2017,A-II,NA
Selasphorus rufus,F,NA,2813,Selasphorus rufus,Selasphorus rufus,APODIFORMES,Trochilidae,Rufous Hummingbird,アカフトオハチドリ,1,3.669555563,0.107163529,NA,Skandalis 2017,A-II,NA
Selasphorus rufus,M,NA,2813,Selasphorus rufus,Selasphorus rufus,APODIFORMES,Trochilidae,Rufous Hummingbird,アカフトオハチドリ,1,3.598588226,0.097909091,NA,Skandalis 2017,A-II,NA
Stephanoxis lalandi,M,NA,2535,Stephanoxis lalandi,Stephanoxis lalandi,APODIFORMES,Trochilidae,Green-crowned Plovercrest,カンムリハチドリ,1,3.499999999,NA,NA,Skandalis 2017,NA,NA
Taphrospilus hypostictus,F,NA,2612,Taphrospilus hypostictus,Taphrospilus hypostictus,APODIFORMES,Trochilidae,Many-spotted Hummingbird,ウロコハチドリ,1,7.150000003,NA,NA,Skandalis 2017,NA,NA
Taphrospilus hypostictus,M,NA,2612,Taphrospilus hypostictus,Taphrospilus hypostictus,APODIFORMES,Trochilidae,Many-spotted Hummingbird,ウロコハチドリ,1,7.025000006,NA,NA,Skandalis 2017,NA,NA
Taphrospilus hypostictus,Unknown,NA,2612,Taphrospilus hypostictus,Taphrospilus hypostictus,APODIFORMES,Trochilidae,Many-spotted Hummingbird,ウロコハチドリ,1,7.080000164,0.1655,NA,Skandalis 2017,A-II,NA
Thalurania colombica,F,NA,2577,Thalurania colombica,Thalurania colombica,APODIFORMES,Trochilidae,Crowned Woodnymph,アオボウシモリハチドリ,1,4.500833353,0.124166667,NA,Skandalis 2017,A-II,NA
Thalurania colombica,M,NA,2577,Thalurania colombica,Thalurania colombica,APODIFORMES,Trochilidae,Crowned Woodnymph,アオボウシモリハチドリ,1,4.74159999,0.12875,NA,Skandalis 2017,A-II,NA
Thalurania furcata,F,NA,2582,Thalurania furcata,Thalurania furcata,APODIFORMES,Trochilidae,Fork-tailed Woodnymph,エンビモリハチドリ,1,4.3181818,0.127,NA,Skandalis 2017,A-II,NA
Thalurania furcata,M,NA,2582,Thalurania furcata,Thalurania furcata,APODIFORMES,Trochilidae,Fork-tailed Woodnymph,エンビモリハチドリ,1,4.823000011,0.134,NA,Skandalis 2017,A-II,NA
Thalurania furcata,NA,NA,2582,Thalurania furcata,Thalurania furcata,APODIFORMES,Trochilidae,Fork-tailed Woodnymph,エンビモリハチドリ,1,5.970000094,NA,NA,Skandalis 2017,NA,NA
Thalurania furcata,Unknown,NA,2582,Thalurania furcata,Thalurania furcata,APODIFORMES,Trochilidae,Fork-tailed Woodnymph,エンビモリハチドリ,1,4.392500029,0.1295,NA,Skandalis 2017,A-II,NA
Thalurania glaucopis,M,NA,2584,Thalurania glaucopis,Thalurania glaucopis,APODIFORMES,Trochilidae,Violet-capped Woodnymph,スミレボウシハチドリ,1,5.028010671,NA,NA,Skandalis 2017,NA,NA
Leucippus taczanowski,M,NA,2610,Leucippus taczanowskii,Thaumasius taczanowskii,APODIFORMES,Trochilidae,Spot-throated Hummingbird,ホシノドミズベハチドリ,1,6.903333332,NA,NA,Skandalis 2017,NA,NA
Thaumastura cora,F,NA,2782,Thaumastura cora,Thaumastura cora,APODIFORMES,Trochilidae,Peruvian Sheartail,ホソフタオハチドリ,1,2.550000001,NA,NA,Skandalis 2017,NA,NA
Thaumastura cora,M,NA,2782,Thaumastura cora,Thaumastura cora,APODIFORMES,Trochilidae,Peruvian Sheartail,ホソフタオハチドリ,1,2.45,NA,NA,Skandalis 2017,NA,NA
Threnetes leucurus,F,NA,19875,Threnetes leucurus,Threnetes leucurus,APODIFORMES,Trochilidae,Pale-tailed Barbthroat,アゴヒゲハチドリ,1,5.815000013,0.138888889,NA,Skandalis 2017,A-II,NA
Threnetes leucurus,M,NA,19875,Threnetes leucurus,Threnetes leucurus,APODIFORMES,Trochilidae,Pale-tailed Barbthroat,アゴヒゲハチドリ,1,6.34781815,0.150045455,NA,Skandalis 2017,A-II,NA
Threnetes leucurus,Unknown,NA,19875,Threnetes leucurus,Threnetes leucurus,APODIFORMES,Trochilidae,Pale-tailed Barbthroat,アゴヒゲハチドリ,1,5.535000045,0.137,NA,Skandalis 2017,A-II,NA
Threnetes ruckeri,Unknown,NA,2459,Threnetes ruckeri,Threnetes ruckeri,APODIFORMES,Trochilidae,Band-tailed Barbthroat,オビオヒゲハチドリ,1,6.293642882,0.1322,NA,Skandalis 2017,A-II,NA
Milvus migrans,NA,A,4622,Milvus migrans,Milvus migrans,ACCIPITRIFORMES,Accipitridae,Black Kite,トビ,1,995,1.896666667,0.674366667,Tanaka 2017,A-II,A-II
Pandion haliaetus,NA,A,4562,Pandion haliaetus,Pandion haliaetus,ACCIPITRIFORMES,Pandionidae,Osprey,ミサゴ,1,1500,1.61,0.4016,Tanaka 2017,A-II,A-II
Charadrius dubius,NA,A,4239,Charadrius dubius,Charadrius dubius,CHARADRIIFORMES,Charadriidae,Little Ringed Plover,コチドリ,1,40,0.35,0.0119,Tanaka 2017,A-II,A-II
Larus ridibundus,NA,A,4424,Larus ridibundus,Chroicocephalus ridibundus,CHARADRIIFORMES,Laridae,Black-headed Gull,ユリカモメ,1,321,0.86,0.0859,Tanaka 2017,A-II,A-II
Actitis hypoleucos,NA,A,4103,Actitis hypoleucos,Actitis hypoleucos,CHARADRIIFORMES,Scolopacidae,Common Sandpiper,イソシギ,1,61,0.34,0.0105,Tanaka 2017,A-II,A-II
Columba livia,NA,A,3315,Columba livia,Columba livia,COLUMBIFORMES,Columbidae,Rock Dove,カワラバト,1,300,0.56,0.0567,Tanaka 2017,A-II,A-II
Streptopelia orientalis,NA,A,3383,Streptopelia orientalis,Streptopelia orientalis,COLUMBIFORMES,Columbidae,Oriental Turtle Dove,キジバト,1,147,0.44,0.0326,Tanaka 2017,A-II,A-II
Coturnix japonica,NA,A,303,Coturnix japonica,Coturnix japonica,GALLIFORMES,Phasianidae,Japanese Quail,ウズラ,1,159,0.38,0.0234,Tanaka 2017,A-II,A-II
Phasianus versicolor,NA,A,19052,Phasianus versicolor,Phasianus versicolor,GALLIFORMES,Phasianidae,Green Pheasant,キジ,1,867,0.72,0.0809,Tanaka 2017,A-II,A-II
Coturnix chinensis,NA,A,313,Coturnix chinensis,Synoicus chinensis,GALLIFORMES,Phasianidae,King Quail,ヒメウズラ,1,57,0.24,0.0081,Tanaka 2017,A-II,A-II
Corvus corone,NA,A,8101,Corvus corone,Corvus corone,PASSERIFORMES,Corvidae,Carrion Crow,ハシボソガラス,1,1001.5,1.205,0.34285,Tanaka 2017,A-II,A-II
Motacilla alba leucopsis,NA,A,11802,Motacilla alba,Motacilla alba,PASSERIFORMES,Motacillidae,White Wagtail,ハクセキレイ,1,22,0.3,0.0144,Tanaka 2017,A-II,A-II
Motacilla cinerea,NA,A,11828,Motacilla cinerea,Motacilla cinerea,PASSERIFORMES,Motacillidae,Grey Wagtail,キセキレイ,1,24.5,0.32,0.01345,Tanaka 2017,A-II,A-II
Motacilla grandis,NA,A,11809,Motacilla grandis,Motacilla grandis,PASSERIFORMES,Motacillidae,Japanese Wagtail,セグロセキレイ,1,24,0.33,0.0153,Tanaka 2017,A-II,A-II
Passser montanus,NA,A,11778,Passer montanus,Passer montanus,PASSERIFORMES,Passeridae,Eurasian Tree Sparrow,スズメ,1,23,0.22,0.01345,Tanaka 2017,A-II,A-II
Ardea cinerea,NA,A,5209,Ardea cinerea,Ardea cinerea,PELECANIFORMES,Ardeidae,Grey Heron,アオサギ,1,1260,1.62,0.33,Tanaka 2017,A-II,A-II
Egretta garzetta,NA,A,5199,Egretta garzetta,Egretta garzetta,PELECANIFORMES,Ardeidae,Little Egret,コサギ,1,541,0.92,0.1011,Tanaka 2017,A-II,A-II
Nycticorax nyctiorax,NA,A,5182,Nycticorax nycticorax,Nycticorax nycticorax,PELECANIFORMES,Ardeidae,Black-crowned Night Heron,ゴイサギ,1,800,0.98,0.1236,Tanaka 2017,A-II,A-II
Astur palumbarius,NA,NA,4767,Accipiter gentilis,Accipiter gentilis,ACCIPITRIFORMES,Accipitridae,Northern Goshawk,オオタカ,1,800,1.03,0.152,Tanaka 2018,A-II,A-II
Accipiter nisus,NA,NA,4753,Accipiter nisus,Accipiter nisus,ACCIPITRIFORMES,Accipitridae,Eurasian Sparrowhawk,ハイタカ,5,233.75,0.66875,0.0674,Tanaka 2018,A-II,A-II
Butastur indicus,NA,NA,4778,Butastur indicus,Butastur indicus,ACCIPITRIFORMES,Accipitridae,Grey-faced Buzzard,サシバ,1,410,0.8,0.0907,Tanaka 2018,A-II,A-II
Asyo brachyotus,NA,NA,4812,Buteo brachyurus,Buteo brachyurus,ACCIPITRIFORMES,Accipitridae,Short-tailed Hawk,ミジカオノスリ,1,370,1.03,0.123,Tanaka 2018,A-II,A-II
Buteo vulgaris,NA,NA,4826,Buteo buteo,Buteo buteo,ACCIPITRIFORMES,Accipitridae,Common Buzzard,ヨーロッパノスリ,1,883.4,1.242,0.2386,Tanaka 2018,A-II,A-II
Archibuteo lagopus,NA,NA,4840,Buteo lagopus,Buteo lagopus,ACCIPITRIFORMES,Accipitridae,Rough-legged Buzzard,ケアシノスリ,1,940.875,1.35,0.239175,Tanaka 2018,A-II,A-II
Haliaetus albicilla,NA,NA,4636,Haliaeetus albicilla,Haliaeetus albicilla,ACCIPITRIFORMES,Accipitridae,White-tailed Eagle,オジロワシ,1,4733.333333,2.173333333,0.705766667,Tanaka 2018,A-II,A-II
Anas boschas,NA,NA,679,Anas platyrhynchos,Anas platyrhynchos,ANSERIFORMES,Anatidae,Mallard,マガモ,1,947.142857,0.871428571,0.076685714,Tanaka 2018,A-II,A-II
Fuligula cristata,NA,NA,736,Aythya fuligula,Aythya fuligula,ANSERIFORMES,Anatidae,Tufted Duck,キンクロハジロ,1,1116,1.04,0.0895,Tanaka 2018,A-II,A-II
Fuligula clangula,NA,NA,757,Bucephala clangula,Bucephala clangula,ANSERIFORMES,Anatidae,Common Goldeneye,ホオジロガモ,1,827,0.69,0.048,Tanaka 2018,A-II,A-II
Fuligula glacialis,NA,NA,748,Clangula hyemalis,Clangula hyemalis,ANSERIFORMES,Anatidae,Long-tailed Duck,コオリガモ,1,922,0.74,0.055,Tanaka 2018,A-II,A-II
Cygnus columbianus,NA,NA,591,Cygnus columbianus,Cygnus columbianus,ANSERIFORMES,Anatidae,Tundra Swan,コハクチョウ,4,3070,1.83,0.4365,Tanaka 2018,A-II,A-II
Haematopus ostralegus,NA,NA,4195,Haematopus ostralegus,Haematopus ostralegus,CHARADRIIFORMES,Haematopodidae,Eurasian Oystercatcher,ミヤコドリ,4,555,0.81,0.0722,Tanaka 2018,A-II,A-II
Larus canus,NA,NA,4376,Larus canus,Larus canus,CHARADRIIFORMES,Laridae,Common Gull,カモメ,5,355,1.08,0.1118,Tanaka 2018,A-II,A-II
Larus crassirostris,NA,NA,4371,Larus crassirostris,Larus crassirostris,CHARADRIIFORMES,Laridae,Black-tailed Gull,ウミネコ,1,538,0.945,0.078084,Tanaka 2018,A-II,A-II
Sterna hirundo,NA,NA,4463,Sterna hirundo,Sterna hirundo,CHARADRIIFORMES,Laridae,Common Tern,アジサシ,7,116,0.79,0.0427,Tanaka 2018,A-II,A-II
Sterna minuta,NA,NA,4471,Sterna albifrons,Sternula albifrons,CHARADRIIFORMES,Laridae,Little Tern,コアジサシ,1,53,0.5,0.01854,Tanaka 2018,A-II,A-II
Sterna cantiaca,NA,NA,4454,Sterna sandvicensis,Thalasseus sandvicensis,CHARADRIIFORMES,Laridae,Sandwich Tern,サンドイッチアジサシ,1,174,0.936,0.066,Tanaka 2018,A-II,A-II
Scolopax gallinago,NA,NA,4051,Gallinago gallinago,Gallinago gallinago,CHARADRIIFORMES,Scolopacidae,Common Snipe,タシギ,1,290,0.603333333,0.047833333,Tanaka 2018,A-II,A-II
Numenius arquatus,NA,NA,4087,Numenius arquata,Numenius arquata,CHARADRIIFORMES,Scolopacidae,Eurasian Curlew,ダイシャクシギ,1,728.5,0.9575,0.093,Tanaka 2018,A-II,A-II
Scolopax rusticola,NA,NA,4034,Scolopax rusticola,Scolopax rusticola,CHARADRIIFORMES,Scolopacidae,Eurasian Woodcock,ヤマシギ,5,306.666667,0.633333333,0.050166667,Tanaka 2018,A-II,A-II
Columba livia,NA,NA,3315,Columba livia,Columba livia,COLUMBIFORMES,Columbidae,Rock Dove,カワラバト,5,269.666667,0.66,0.059633333,Tanaka 2018,A-II,A-II
Falco tinnunculus,NA,NA,4941,Falco tinnunculus,Falco tinnunculus,FALCONIFORMES,Falconidae,Common Kestrel,チョウゲンボウ,8,260,0.65,0.068,Tanaka 2018,A-II,A-II
Perdix rufa,NA,NA,245,Alectoris rufa,Alectoris rufa,GALLIFORMES,Phasianidae,Red-legged Partridge,アカアシイワシャコ,1,380,0.51,0.04,Tanaka 2018,A-II,A-II
Lagopus alpinus,NA,NA,426,Lagopus muta,Lagopus muta,GALLIFORMES,Phasianidae,Rock Ptarmigan,ライチョウ,1,590,0.63,0.0546,Tanaka 2018,A-II,A-II
Tetrao tetrix,NA,NA,428,Tetrao tetrix,Lyrurus tetrix,GALLIFORMES,Phasianidae,Black Grouse,クロライチョウ,1,1337.142857,0.859285714,0.103,Tanaka 2018,A-II,A-II
Pavo crist,NA,NA,413,Pavo cristatus,Pavo cristatus,GALLIFORMES,Phasianidae,Indian Peafowl,インドクジャク,1,3100,1.28,0.348,Tanaka 2018,A-II,A-II
Perdix cinerea,NA,NA,294,Perdix perdix,Perdix perdix,GALLIFORMES,Phasianidae,Grey Partridge,ヨーロッパヤマウズラ,1,379.25,0.5325,0.036225,Tanaka 2018,A-II,A-II
Phasianus colchicus,NA,NA,393,Phasianus colchicus,Phasianus colchicus,GALLIFORMES,Phasianidae,Common Pheasant,コウライキジ,5,1165.833333,0.715,0.08635,Tanaka 2018,A-II,A-II
Tetrao urogallus,NA,NA,430,Tetrao urogallus,Tetrao urogallus,GALLIFORMES,Phasianidae,Western Capercaillie,ヨーロッパオオライチョウ,2,2700,1.16,0.1785,Tanaka 2018,A-II,A-II
Tetrao bonasia,NA,NA,432,Bonasa bonasia,Tetrastes bonasia,GALLIFORMES,Phasianidae,Hazel Grouse,エゾライチョウ,1,372.5,0.515,0.03575,Tanaka 2018,A-II,A-II
Otis tarda,NA,NA,3697,Otis tarda,Otis tarda,OTIDIFORMES,Otididae,Great Bustard,ノガン,3,9250,2.075,0.5833,Tanaka 2018,A-II,A-II
Corvus monedula,NA,NA,8075,Corvus dauuricus,Coloeus monedula,PASSERIFORMES,Corvidae,Western Jackdaw,ニシコクマルガラス,6,214.5,0.62,0.06057,Tanaka 2018,A-II,A-II
Corvus cornix,NA,NA,8101,Corvus corone,Corvus cornix,PASSERIFORMES,Corvidae,Hooded Crow,ズキンガラス,4,557,0.78,0.126,Tanaka 2018,A-II,A-II
Corvus frugilegus,NA,NA,8090,Corvus frugilegus,Corvus frugilegus,PASSERIFORMES,Corvidae,Rook,ミヤマガラス,5,575,0.92,0.1285,Tanaka 2018,A-II,A-II
Garrulus glandarius,NA,NA,8023,Garrulus glandarius,Garrulus glandarius,PASSERIFORMES,Corvidae,Eurasian Jay,カケス,7,180,0.56,0.0565,Tanaka 2018,A-II,A-II
Corvus pica,NA,NA,8057,Pica pica,Pica pica,PASSERIFORMES,Corvidae,Eurasian Magpie,ユーラシアカササギ,1,190.5,0.5325,0.0521,Tanaka 2018,A-II,A-II
Turdus pilaris,NA,NA,8963,Turdus pilaris,Turdus pilaris,PASSERIFORMES,Turdidae,Fieldfare,ノハラツグミ,7,100,0.39,0.0186,Tanaka 2018,A-II,A-II
Ardea alba,NA,NA,5230,Casmerodius albus,Ardea alba,PELECANIFORMES,Ardeidae,Great Egret,ダイサギ,2,1280,1.73,0.3313,Tanaka 2018,A-II,A-II
Botaurus stellaris,NA,NA,5174,Botaurus stellaris,Botaurus stellaris,PELECANIFORMES,Ardeidae,Eurasian Bittern,サンカノゴイ,5,1500,1.2,0.1915,Tanaka 2018,A-II,A-II
Diomedea exulans,NA,NA,5575,Diomedea exulans,Diomedea exulans,PROCELLARIIFORMES,Diomedeidae,Wandering Albatross,ワタリアホウドリ,6,8445,3.245,0.635,Tanaka 2018,A-II,A-II
Diomedea irrorata,NA,NA,5579,Phoebastria irrorata,Phoebastria irrorata,PROCELLARIIFORMES,Diomedeidae,Waved Albatross,ガラパゴスアホウドリ,2,2040,2.31,0.36,Tanaka 2018,A-II,A-II
Thalassarche chrysostoma,NA,NA,5589,Thalassarche chrysostoma,Thalassarche chrysostoma,PROCELLARIIFORMES,Diomedeidae,Grey-headed Albatross,ハイガシラアホウドリ,2,3790,2.18,0.35,Tanaka 2018,A-II,A-II
Thalassarche melanophrys,NA,NA,5583,Thalassarche melanophrys,Thalassarche melanophris,PROCELLARIIFORMES,Diomedeidae,Black-browed Albatross,マユグロアホウドリ,2,3790,2.16,0.36,Tanaka 2018,A-II,A-II
Puffinus pacificus,NA,NA,5534,Puffinus pacificus,Ardenna pacifica,PROCELLARIIFORMES,Procellariidae,Wedge-tailed Shearwater,オナガミズナギドリ,3,380,1.01,0.1,Tanaka 2018,A-II,A-II
Procellaria aequinoctialis,NA,NA,5524,Procellaria aequinoctialis,Procellaria aequinoctialis,PROCELLARIIFORMES,Procellariidae,White-chinned Petrel,ノドジロクロミズナギドリ,6,1370,1.4,0.17,Tanaka 2018,A-II,A-II
Puffinus nativitatis,NA,NA,5542,Puffinus nativitatis,Puffinus nativitatis,PROCELLARIIFORMES,Procellariidae,Christmas Shearwater,コミズナギドリ,3,340,0.82,0.07,Tanaka 2018,A-II,A-II
Chrysotis amazonica,NA,NA,2301,Amazona amazonica,Amazona amazonica,PSITTACIFORMES,Psittacidae,Orange-winged Amazon,キソデボウシインコ,1,300,0.73,0.0895,Tanaka 2018,A-II,A-II
Psittacus erithacus,NA,NA,2097,Psittacus erithacus,Psittacus erithacus,PSITTACIFORMES,Psittacidae,Grey Parrot,ヨウム,1,200,0.71,0.071,Tanaka 2018,A-II,A-II
Strix flammea,NA,NA,3111,Asio flammeus,Asio flammeus,STRIGIFORMES,Strigidae,Short-eared Owl,コミミズク,1,325,0.97,0.1315,Tanaka 2018,A-II,A-II
Asio otus,NA,NA,3106,Asio otus,Asio otus,STRIGIFORMES,Strigidae,Long-eared Owl,トラフズク,6,253.5,0.92,0.1056,Tanaka 2018,A-II,A-II
Smyrnium aluco,NA,NA,2990,Strix aluco,Strix aluco,STRIGIFORMES,Strigidae,Tawny Owl,モリフクロウ,1,1777,0.945,0.302,Tanaka 2018,A-II,A-II
Strix uralensis,NA,NA,3002,Strix uralensis,Strix uralensis,STRIGIFORMES,Strigidae,Ural Owl,フクロウ,3,680,0.87,0.2207,Tanaka 2018,A-II,A-II
Buteo japonicus,NA,NA,4826,Buteo buteo,Buteo japonicus,ACCIPITRIFORMES,Accipitridae,Eastern Buzzard,ノスリ,1,918.82353,1.220588235,0.232941176,Kikuchi 2019,A-II,A-II
Pernis ptilorhynchus,NA,NA,4592,Pernis ptilorhyncus,Pernis ptilorhynchus,ACCIPITRIFORMES,Accipitridae,Crested Honey Buzzard,ハチクマ,1,1063.75,1.38,0.3025,Kikuchi 2019,A-II,A-II
Accipiter brevipes,NA,NA,4722,Accipiter brevipes,Accipiter brevipes,ACCIPITRIFORMES,Accipitridae,Levant Sparrowhawk,レバントハイタカ,3,NA,0.6702,0.082451,Vincze 2019,B-II?,B-II?
Accipiter gentilis,NA,NA,4767,Accipiter gentilis,Accipiter gentilis,ACCIPITRIFORMES,Accipitridae,Northern Goshawk,オオタカ,4,NA,0.9607,0.172297,Vincze 2019,B-II?,B-II?
Accipiter nisus,NA,NA,4753,Accipiter nisus,Accipiter nisus,ACCIPITRIFORMES,Accipitridae,Eurasian Sparrowhawk,ハイタカ,5,NA,0.6694,0.085578,Vincze 2019,B-II?,B-II?
Aquila chrysaetos,NA,NA,4864,Aquila chrysaetos,Aquila chrysaetos,ACCIPITRIFORMES,Accipitridae,Golden Eagle,イヌワシ,5,NA,1.828,0.605395,Vincze 2019,B-II?,B-II?
Aquila heliaca,NA,NA,4862,Aquila heliaca,Aquila heliaca,ACCIPITRIFORMES,Accipitridae,Eastern Imperial Eagle,カタシロワシ,1,NA,1.7587,0.562555,Vincze 2019,B-II?,B-II?
Buteo buteo,NA,NA,4826,Buteo buteo,Buteo buteo,ACCIPITRIFORMES,Accipitridae,Common Buzzard,ヨーロッパノスリ,7,NA,1.1244,0.227188,Vincze 2019,B-II?,B-II?
Buteo lagopus,NA,NA,4840,Buteo lagopus,Buteo lagopus,ACCIPITRIFORMES,Accipitridae,Rough-legged Buzzard,ケアシノスリ,4,NA,1.2225,0.254257,Vincze 2019,B-II?,B-II?
Buteo rufinus,NA,NA,4836,Buteo rufinus,Buteo rufinus,ACCIPITRIFORMES,Accipitridae,Long-legged Buzzard,ニシオオノスリ,1,NA,1.0549,0.208345,Vincze 2019,B-II?,B-II?
Circaetus gallicus,NA,NA,4659,Circaetus gallicus,Circaetus gallicus,ACCIPITRIFORMES,Accipitridae,Short-toed Snake Eagle,チュウヒワシ,4,NA,1.6597,0.42766,Vincze 2019,B-II?,B-II?
Circus aeruginosus,NA,NA,4685,Circus aeruginosus,Circus aeruginosus,ACCIPITRIFORMES,Accipitridae,Western Marsh Harrier,ヨーロッパチュウヒ,5,NA,1.1551,0.209485,Vincze 2019,B-II?,B-II?
Circus cyaneus,NA,NA,4696,Circus cyaneus,Circus cyaneus,ACCIPITRIFORMES,Accipitridae,Hen Harrier,ハイイロチュウヒ,4,NA,1.1072,0.212576,Vincze 2019,B-II?,B-II?
Clanga pomarina,NA,NA,4852,Aquila pomarina,Clanga pomarina,ACCIPITRIFORMES,Accipitridae,Lesser Spotted Eagle,アシナガワシ,2,NA,1.308,0.303397,Vincze 2019,B-II?,B-II?
Haliaeetus albicilla,NA,NA,4636,Haliaeetus albicilla,Haliaeetus albicilla,ACCIPITRIFORMES,Accipitridae,White-tailed Eagle,オジロワシ,3,NA,1.9046,0.700692,Vincze 2019,B-II?,B-II?
Milvus migrans,NA,NA,4622,Milvus migrans,Milvus migrans,ACCIPITRIFORMES,Accipitridae,Black Kite,トビ,6,NA,1.3341,0.249146,Vincze 2019,B-II?,B-II?
Pernis apivorus,NA,NA,4591,Pernis apivorus,Pernis apivorus,ACCIPITRIFORMES,Accipitridae,European Honey Buzzard,ヨーロッパハチクマ,4,NA,1.1327,0.234765,Vincze 2019,B-II?,B-II?
Pandion haliaetus,NA,NA,4562,Pandion haliaetus,Pandion haliaetus,ACCIPITRIFORMES,Pandionidae,Osprey,ミサゴ,6,NA,1.5478,0.295275,Vincze 2019,B-II?,B-II?
Anas crecca,NA,NA,714,Anas crecca,Anas crecca,ANSERIFORMES,Anatidae,Eurasian Teal,コガモ,5,NA,0.5183,0.041389,Vincze 2019,B-II?,B-II?
Anas platyrhynchos,NA,NA,679,Anas platyrhynchos,Anas platyrhynchos,ANSERIFORMES,Anatidae,Mallard,マガモ,6,NA,0.7728,0.096909,Vincze 2019,B-II?,B-II?
Anser albifrons,NA,NA,603,Anser albifrons,Anser albifrons,ANSERIFORMES,Anatidae,Greater White-fronted Goose,マガン,4,NA,1.1712,0.192994,Vincze 2019,B-II?,B-II?
Anser anser,NA,NA,607,Anser anser,Anser anser,ANSERIFORMES,Anatidae,Greylag Goose,ハイイロガン,4,NA,1.4123,0.303828,Vincze 2019,B-II?,B-II?
Aythya ferina,NA,NA,727,Aythya ferina,Aythya ferina,ANSERIFORMES,Anatidae,Common Pochard,ホシハジロ,4,NA,0.6427,0.056907,Vincze 2019,B-II?,B-II?
Aythya fuligula,NA,NA,736,Aythya fuligula,Aythya fuligula,ANSERIFORMES,Anatidae,Tufted Duck,キンクロハジロ,4,NA,0.5977,0.050299,Vincze 2019,B-II?,B-II?
Branta ruficollis,NA,NA,619,Branta ruficollis,Branta ruficollis,ANSERIFORMES,Anatidae,Red-breasted Goose,アオガン,1,NA,0.9139,0.101177,Vincze 2019,B-II?,B-II?
Cygnus olor,NA,NA,586,Cygnus olor,Cygnus olor,ANSERIFORMES,Anatidae,Mute Swan,コブハクチョウ,5,NA,1.9567,0.498477,Vincze 2019,B-II?,B-II?
Mareca penelope,NA,NA,673,Anas penelope,Mareca penelope,ANSERIFORMES,Anatidae,Eurasian Wigeon,ヒドリガモ,1,NA,0.7379,0.070678,Vincze 2019,B-II?,B-II?
Netta rufina,NA,NA,722,Netta rufina,Netta rufina,ANSERIFORMES,Anatidae,Red-crested Pochard,アカハシハジロ,2,NA,0.7822,0.089457,Vincze 2019,B-II?,B-II?
Spatula clypeata,NA,NA,695,Anas clypeata,Spatula clypeata,ANSERIFORMES,Anatidae,Northern Shoveler,ハシビロガモ,1,NA,0.6573,0.057867,Vincze 2019,B-II?,B-II?
Spatula querquedula,NA,NA,712,Anas querquedula,Spatula querquedula,ANSERIFORMES,Anatidae,Garganey,シマアジ,1,NA,0.5244,0.047451,Vincze 2019,B-II?,B-II?
Apus apus,NA,NA,2422,Apus apus,Apus apus,APODIFORMES,Apodidae,Common Swift,ヨーロッパアマツバメ,5,NA,0.3825,0.015952,Vincze 2019,B-II?,B-II?
Tachymarptis melba,NA,NA,2419,Tachymarptis melba,Tachymarptis melba,APODIFORMES,Apodidae,Alpine Swift,シロハラアマツバメ,2,NA,0.4891,0.028037,Vincze 2019,B-II?,B-II?
Upupa epops,NA,NA,1384,Upupa epops,Upupa epops,BUCEROTIFORMES,Upupidae,Eurasian Hoopoe,ヤツガシラ,5,NA,0.405,0.038936,Vincze 2019,B-II?,B-II?
Caprimulgus europaeus,NA,NA,3254,Caprimulgus europaeus,Caprimulgus europaeus,CAPRIMULGIFORMES,Caprimulgidae,European Nightjar,ヨーロッパヨタカ,2,NA,0.5027,0.038881,Vincze 2019,B-II?,B-II?
Alle alle,NA,NA,4507,Alle alle,Alle alle,CHARADRIIFORMES,Alcidae,Little Auk,ヒメウミスズメ,2,NA,0.3404,0.017413,Vincze 2019,B-II?,B-II?
Charadrius dubius,NA,NA,4239,Charadrius dubius,Charadrius dubius,CHARADRIIFORMES,Charadriidae,Little Ringed Plover,コチドリ,1,NA,0.3333,0.016042,Vincze 2019,B-II?,B-II?
