scientific_name,family,order,type,max_speed,wingspan,wingarea,mass,speed
Gallinago gallinago,Scolopacidae,Charadriiformes,other,20.1764240755311,0.4780666666,0.0349906666,0.13187,21
Gallinago media,Scolopacidae,Charadriiformes,other,21.7036202559569,0.482,0.0337,0.16748,22
Gallinula chloropus,Rallidae,Gruiformes,other,23.8415714694675,0.525666666666667,0.047861111,0.327148333333333,24
Garrodia nereis,Oceanitidae,Procellariiformes,seabird,17.5278049836049,0.334,0.01565,0.034225,18
Garrulus glandarius,Corvidae,Passeriformes,passerine,16.4046516837783,0.5339949495,0.0629656733333334,0.16123,17
Gavia arctica,Gaviidae,Gaviiformes,other,25.7676790927974,1.20833333333333,0.14788,2.57588333333333,26
Gavia immer,Gaviidae,Gaviiformes,other,25.9400303254864,1.37,0.189,4.543655,26
Gavia stellata,Gaviidae,Gaviiformes,other,25.4562622049968,1.095,0.1085,1.69675,26
Geothlypis trichas,Parulidae,Passeriformes,passerine,14.3641300744133,0.178,0.00663,0.00977,15
Glareola nordmanni,Glareolidae,Charadriiformes,other,15.4648380783337,0.64,0.054,0.098595,16
Glareola pratincola,Glareolidae,Charadriiformes,other,14.8263561874455,0.63,0.0503,0.08245,15
Glaucidium capense,Strigidae,Strigiformes,other,20.6052430717565,0.4036,0.02948,0.10765,21
Glaucidium perlatum,Strigidae,Strigiformes,other,20.0729979789176,0.3862,0.02478,0.08382,21
Grus grus,Gruidae,Gruiformes,other,20.2645822978119,2.22,0.5855,5.503495,21
Gulosus aristotelis,Phalacrocoracidae,Suliformes,seabird,24.8559495997238,1.04,0.1575,1.77217,25
Gygis alba,Laridae,Charadriiformes,seabird,15.8863797004192,0.7125,0.0461,0.10975,16
Gypaetus barbatus,Accipitridae,Accipitriformes,other,18.4731158030603,2.5768,0.73709,5.54594,19
Gyps africanus,Accipitridae,Accipitriformes,other,19.4544496632514,2.22,0.716,5.466495,20
Gyps coprotheres,Accipitridae,Accipitriformes,other,17.5031397041461,2.5733,0.85413,8.732945,18
Gyps rueppelli,Accipitridae,Accipitriformes,other,18.4409879866925,2.5,0.892,7.349995,19
Haematopus ostralegus,Haematopodidae,Charadriiformes,other,21.5755086878558,0.833,0.0824,0.4985,22
Haliaeetus albicilla,Accipitridae,Accipitriformes,other,18.5159627172962,2.17777777766667,0.823522222333333,4.7771905555,19
Haliaeetus vocifer,Accipitridae,Accipitriformes,other,19.3954806889347,1.9,0.52284,3.120825,20
Halobaena caerulea,Procellariidae,Procellariiformes,seabird,19.3149004980018,0.68975,0.048025,0.19925,20
Hieraaetus ayresii,Accipitridae,Accipitriformes,other,18.7188652119935,1.23655,0.22779,0.89718,19
Hieraaetus pennatus,Accipitridae,Accipitriformes,other,18.9648955077338,1.1508,0.1957525,0.782,19
Hieraaetus wahlbergi,Accipitridae,Accipitriformes,other,17.2361097693949,1.4073,0.26557,0.924695,18
Himantopus himantopus,Recurvirostridae,Charadriiformes,other,17.0558782011155,0.75,0.06,0.16841,18
Hippolais icterina,Acrocephalidae,Passeriformes,passerine,14.0131731614914,0.221866666666667,0.00961933333333333,0.0133333333333333,15
Hippolais polyglotta,Acrocephalidae,Passeriformes,passerine,13.9647780804752,0.2,0.0083,0.011,14
Hirundo rustica,Hirundinidae,Passeriformes,passerine,12.8459202912292,0.3174761905,0.0142233333333333,0.0177516666666667,13
Horornis diphone,Scotocercidae,Passeriformes,passerine,15.3381512979308,0.175,0.00846,0.014655,16
